Mon,2014-07-07 14:04:45,191,-0.524 %,Consistent
Mon,2014-07-07 14:09:45,171,-11.696 %,Consistent
Mon,2014-07-07 14:14:44,171,0.000 %,Consistent
Mon,2014-07-07 14:19:44,163,-4.908 %,Consistent
Mon,2014-07-07 14:24:45,200,18.500 %,Consistent
Mon,2014-07-07 14:29:45,208,3.846 %,Consistent
Mon,2014-07-07 14:34:45,177,-17.514 %,Consistent
Mon,2014-07-07 14:39:44,156,-13.462 %,Consistent
Mon,2014-07-07 14:44:44,187,16.578 %,Consistent
Mon,2014-07-07 14:49:45,172,-8.721 %,Consistent
